Employer,Job Title,Publisher,Responsibilities,Qualifications,Max Salary,Application Page,Expiry Date
GSK,Data & Analytics Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-1a3846bc8154c37b1dfee5672cf9bf1d,2023-03-27
Continental AG,System Test Engineer Intern,Trabajo.org,Not Listed,Not Listed,Not Listed,https://sg.trabajo.org/job-1834-20230321-924fee3930fca34be9b46c2f05e2e8f6,2023-03-28
MCI - Cyber Security Agency of Singapore,"Intern, Data Analytics",BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-c3dcbeeb1fd886e7117131bbe529a69f,2023-03-27
Tinvio,Data Analyst (Intern) - tinvio,Kinobi,Not Listed,Not Listed,Not Listed,https://app.kinobi.asia/jobs/data-analyst-intern-sg-1679337026591,2023-04-02
mercer,"Intern, Business Intelligence Data Analytics",BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230318-cc85eca769209a6e6faa79d6e4470eb7,2023-03-26
BioQuest Advisory Pte Ltd,Data Science Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230320-a910e7df9f3be61448d9a0e74c07530d,2023-03-28
Marvell Technology,"Intern, Test Engineer",NodeFlair,Not Listed,Not Listed,Not Listed,https://nodeflair.com/jobs/marvell-technology-intern-test-engineer-140686,2023-05-21
Seagate Technology,Sputter Equipment Engineering Intern - RMO,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/sputter-equipment-engineering-intern-rmo-seagate-technology-JV_IC3235921_KO0,40_KE41,59.htm?jl=1008538698815",2023-04-23
Thales,Software Engineer Intern (Biometrics),Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/software-engineer-intern-biometrics-thales-JV_KO0,35_KE36,42.htm?jl=1008486850680",2023-04-23
FreelanceZone,Data Science Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230324-6ba11b7c44fdb0fa52c0f0ad6c3bd133,2023-04-01
Infineon Technologies,Internship - Supply Chain Data Scientist,LinkedIn,Not Listed,Not Listed,Not Listed,https://sg.linkedin.com/jobs/view/internship-supply-chain-data-scientist-at-infineon-technologies-3538029665,2023-04-23
Sembcorp Industries,Data Science Intern (Analytics),Indeed,Not Listed,Not Listed,Not Listed,https://sg.indeed.com/viewjob?jk=e4409e495a9c1e5b,2023-04-23
Seagate Technology,Data Science Intern - SRG,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/data-science-intern-srg-seagate-technology-JV_IC3235921_KO0,23_KE24,42.htm?jl=1008538698830",2023-04-23
BIOQUEST ADVISORY PTE. LTD.,Data Science Intern to Perm,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230323-86a9f6167aacae441c7c81028cad96b9,2023-03-31
HP,College Intern - Data Science,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/college-intern-data-science-hp-inc-JV_IC3234748_KO0,27_KE28,34.htm?jl=1008488989862",2023-04-23
Societe Generale,"6 months’ contract: Intern, Data Analytics",LinkedIn,Not Listed,Not Listed,Not Listed,https://sg.linkedin.com/jobs/view/6-months%E2%80%99-contract-intern-data-analytics-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-3474877017,2023-05-09
Agilent,Data Analyst Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230323-604e456a5a87ba37bdd2f3e33fe2ab55,2023-03-31
Micron,Intern - Data Science,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/intern-data-science-micron-technology-JV_IC3235921_KO0,19_KE20,37.htm?jl=1008360779274",2023-04-20
Evonik (SEA) Pte Ltd,Data Science Intern – Digital Labs Apac,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230324-cc412a703f53a206f2792b69acba6457,2023-04-01
SHOPEE SINGAPORE PRIVATE LIMITED,Data Analytics Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230322-ce1eb251a78d0c673bdb7dba92f19492,2023-03-30
ShopBack,Data Analyst (Internship),LinkedIn,Not Listed,Not Listed,Not Listed,https://sg.linkedin.com/jobs/view/data-analyst-internship-at-shopback-3356835409,2023-06-12
Snowflake,Strategy & Analytics Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230318-85734882244a270d825d94de2fd0b9a6,2023-03-26
Analytix-Online Pte Ltd,Data Story Teller Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-87d717fefe2844febee26cb8239a08ce,2023-03-27
Shopee,"Data Analytics Intern - Business Development, Shopee Xpress SG (Summer 2023)",Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/data-analytics-intern-business-development-shopee-xpress-sg-shopee-JV_IC3235921_KO0,59_KE60,66.htm?jl=1008489110287",2023-04-23
PwC Singapore,"Year-end Tax - Knowledge, Analytics and Solutions Internship",LinkedIn,Not Listed,Not Listed,Not Listed,https://sg.linkedin.com/jobs/view/year-end-tax-knowledge-analytics-and-solutions-internship-at-pwc-singapore-3286650253,2023-06-23
REBEL SEARCH,Data Management Intern. Social Media analytics. 3K,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230320-4961619b23079c101979d939f15b35d8,2023-03-28
Shopee,"Data Analytics Intern - Seller Revenue Paid Ads, Business Development",Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/data-analytics-intern-seller-revenue-paid-ads-business-development-shopee-JV_IC3235921_KO0,66_KE67,73.htm?jl=1008489112948",2023-04-23
GRABTAXI PTE. LTD.,"Intern, People Analytics",BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230320-979313edab7014030aea58dc82ad97b0,2023-03-28
Schneider Electric,SERE Analytics Intern,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/sere-analytics-intern-schneider-electric-JV_IC3235921_KO0,21_KE22,40.htm?jl=1008483034522",2023-04-23
99,Real Estate Research Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-8f18d7c6a2f5d0ae8d28da3853306524,2023-03-27
Bosch Group,Intern for AI Machine Learning,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230321-06b94110bb750523d0b2a481dbbb100a,2023-03-29
Mediatek Singapore Pte Ltd,[2023 Internship] CAD Machine Learning Engineer,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230322-97208180bdc5ba9a065d64eceedeaffe,2023-03-30
Siemens,Intern for Generative AI Development,Indeed,Not Listed,Not Listed,Not Listed,https://sg.indeed.com/viewjob?jk=bd87aab4c9e7c849,2023-04-22
Infineon Technologies,Internship - Machine Learning (Risk Assessment),BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-67d90b1d7a57bde9f7670c5c77c93aca,2023-03-27
Tencent,Research Intern (Data Mining),Indeed,Not Listed,Not Listed,Not Listed,https://sg.indeed.com/viewjob?jk=9b3db69480d7ad65,2023-04-23
Tencent,Research Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230324-2b7da0e4d67c1791f19278e82f940a49,2023-04-01
Hudson River Trading,Algorithm Development Internship - Summer 2023,LinkedIn,Not Listed,Not Listed,Not Listed,https://sg.linkedin.com/jobs/view/algorithm-development-internship-summer-2023-at-hudson-river-trading-3289718897,2023-06-23
Black Sesame Technologies (Singapore) Pte Ltd,Computer Vision Algorithm Deployment Intern,Trabajo.org,Not Listed,Not Listed,Not Listed,https://sg.trabajo.org/job-1365-20230319-870a8961a1a4d0af6cec57c34ff8804b,2023-04-18
Hypotenuse AI,Operations Intern - hypotenuse ai,Kinobi,Not Listed,Not Listed,Not Listed,https://app.kinobi.asia/jobs/operations-intern-sg-1679337026589,2023-05-31
Sea,Research Intern,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230323-7d51333523a77b062c70e5c017a9541f,2023-03-31
Nested Technologies,Front End Development Internship,BeBee Singapore,Not Listed,Not Listed,Not Listed,https://sg.bebee.com/job/20230319-49c4f93dcefe73a91de4bd5f1d63571d,2023-03-27
TikTok,Research Intern (Computer Vision) - 2023,Glassdoor,Not Listed,Not Listed,Not Listed,"https://www.glassdoor.sg/job-listing/research-intern-computer-vision-2023-tiktok-JV_KO0,36_KE37,43.htm?jl=1008082056894",2023-04-23
